L48 | 2025-07-29: Semester 3: Lesson 4

S1 | Miscellaneous
1 | let | flight
2 | spakirati (spakiram) | to pack (pf.)
3 | kofer | suitcase
4 | taksi | taxi
5 | časopis | magazine
6 | pozdraviti (pozdravim) | to greet (pf.)
7 | oprati (operem) zube | to brush teeth (pf.)
8 | vijesti (pl.) | news
9 | gramatika | grammar
10 | sjesti (sjednem) | to sit (pf.)
11 | pasti (pastem) | to fall (pf.)
12 | baviti (bavim) | to do, to attend, to engage in (imp.)
13 | vjetar | wind
14 | udati (udajem) se za + acc. | to marry with

S2 | Past Tense
1 | htio/htjela sam | i wanted
2 | volio/voljela sam | i loved
3 | pao/pala sam | i fell
4 | sjeo/sjela sam | i sat
5 | išao/išla sam | i went
6 | mogao/mogla sam | i could
7 | rekao/rekla sam | i said
8 | našao/našla sam | i found
