L12 | 2024-10-12: Recap of First Semester

S1 | Mixed
1 | snijeg | snow
2 | ljubičasta | purple
3 | limun | lemon
4 | jabuka | apple
5 | banana | banana
6 | razveden | divorced
7 | zdrav | healthy
8 | jesti (jedem) | to eat
9 | planirati (planiram) | to plan
10 | naočale (pl.) | glasses
11 | priča | story
12 | grad | city
13 | razmišljati (razmišljam) | to ponder
14 | trebati (trebam) | to need
15 | ustati (ustajem) | to get up
