L41 | 2025-05-19: Semester 2: Lesson 27

S1 | Miscellaneous
1 | kuhati kavu | to make coffee
2 | Anin dečko i prijatelji | Anna's boyfriend and friends
3 | Anini mama i tata | Anna's mom and dad
4 | Vani je snježno. | It is snowy outside.
5 | kišiti (kišim) | to rain (formal)
6 | Pada snijeg. | It snows. (lit.: Snow falls.)
7 | popodne | in the afternoon
8 | u podne | at noon
9 | penjati (penjem) se na stijenu | to rock climb 
10 | roniti (ronim) | to dive
11 | prati (perem) zube | to brush teeth (imp.)
12 | padati (padam) | to fall
