L57 | 2025-12-02: Semester 3: Lesson 13

S1 | Miscellaneous
1 | djetetu | child (dat.)
2 | napraviti (napravim) | to do (pf.)
3 | napravio/napravila sam | i did
4 | no | but (contrast without direct contradiction)
5 | pet mjeseci dana | for a duration of five months
6 | dogoditi (dogodim) se | to happen (pf.)
6-2 | dogođati (dogođam) se | to happen (imp.)
7 | sjećati (sjećam) se | to remember (imp.)
7-2 | sjetiti (sjetim) se | to remember (pf.)
8 | ikada | ever
9 | reagirati (reagiram) | to react (pf. and imp.)
10 | sjučajno | accidentally
11 | ispričavati (ispričavam) se | to apologise (imp.)
12 | Kakav blum! | What a bummer!
13 | zaljubljen | in love (adjective)
14 | bivši | former
15 | šokiran | shocked
16 | potpuno | completely
17 | katastrofa | catastrophe
