L62 | 2026-03-12: Semester 3: Recap

S1 | Miscellaneous
1 | himna | anthem
2 | plakati (plačem) | to cry
3 | upravo | just, right, exactly
4 | zora | dawn
5 | zatvor | jail
6 | istoimeni | having the same name (adjective)
7 | uz + acc. | along
8 | zabavljati (zabavljam) (se) | to entertain/amuse (oneself) (imp.)
9 | zabaviti (zabavim) (se) | to entertain/amuse (oneself) (pf.)
10 | odmoriti (odmorim) se | to rest (pf.)
11 | zelenilo | greenery
12 | unutrašnjost | the interior/inside
13 | specijalitet | specialty
14 | istarski | Istrian
15 | brati (berem) | to pick, to gather, to harvest
16 | svjetionik | lighthouse
17 | mjesto | place
18 | drugačiji | different
19 | pučina | open sea
20 | buka | noise
21 | žurba | rush
22 | svakodnevan | everyday
23 | život | life
24 | istovremeno | at the same time
25 | kraj (noun) | end, area/region, side
26 | krstarenje | cruise
27 | pružati (pružam) | to offer, to provide
28 | prilika | opportunity
29 | zaustaviti (zaustavim) | to stop (pf.)
30 | osloboditi (oslobodim) (se) | to free (oneself) (pf.)
31 | stres | stress
32 | jedriti (jedrim) | to sail (imp.)
33 | početni | beginner (adjective)
34 | tečaj | course
35 | osnovni | basic
36 | vještina | skill
37 | napredni | advanced
38 | potreban | necessary
39 | samostalan | independent

