L17 | 2024-11-05: Semester 2: Lesson 3

S1 | Prepositions
1 | u vrt | to the garden
2 | na tržnicu | to the market
3 | na terasu | to a terrace
4 | na doručak | for breakfast
5 | na frizuru | for a haircut
6 | na izlet | on a trip
7 | na jogu | to yoga
8 | na odmor | on vacation
9 | u kupovinu | to go shopping
10 | u posjet | on a visit
11 | u šetnju | on a walk
12 | na ples | to dance
13 | po hranu | to pick up food
14 | u centar | to the centre
15 | u ulicu | to the street

S2 | Vocabulary
1 | kupovina | purchase
2 | planinar | hiker
3 | nekamo | somewhere
4 | ribar | fisherman
5 | Hajdemo! | Let's go!
6 | ga | him (acc.)
7 | zvati (zovem) | to call
8 | vjenčanje | wedding
9 | s nama | with us
10 | tulum | party (less common)
11 | Božić | Christmas
12 | po + acc. | to pick up ...
13 | nogometaš | football player
14 | pekara | bakery
15 | išao sam | i went
16 | prvo | first
17 | noću | at night
