L54 | 2025-11-11: Semester 3: Lesson 10

S1 | Miscellaneous
1 | u smeđoj boji | in the colour brown
2 | posto | percent
3 | tehničak | technical
4 | loš, gori, najgori | bad, worse, worst
5 | veći | bigger
6 | grozan | awful
7 | definitivno | definitely
8 | poklanjati (poklanjam) | to give away (imp.)
9 | jednom | once
10 | razmišljati (razmišljam) | to think over, to reflect
11 | snimiti (snimim) | to record

S2 | Things
1 | pulover | pullover
2 | klizaljke (pl.) | ice skates
3 | higijenska torbica / neseser | hygiene bag
4 | privjesak za ključeve | key bag
5 | rumenilo | blush (make-up)
6 | ruž | lipstick
7 | mirisna svijeća | scented candle 
8 | gaćice | underwear
9 | maska za mobitel | phone case
10 | rokovnik | planner (book)
