L58 | 2025-12-09: Semester 3: Lesson 14

S1 | Miscellaneous
1 | motor | motor
2 | bojati (bojim) se + gen. |  to be afraid of (imp.)
3 | taskijem | taxi (instr.) 
4 | izvan + gen. | outside
5 | nervozan | nervous
6 | uzbuđen | excited
7 | sastati (sastanem) | to meet (synonym of sresti)
8 | kamp-kućica | caravan
9 | rezati (režem) | to cut (imp.)
