VOCAB-A2.2 | Vocabulary A2.2

S1 | Vocabulary
313 | prilog | side dish
314 | primijetiti | to notice
315 | pripremati | to prepare
316 | prizemlje | ground floor
317 | proljev | diarrhea
318 | prometna nezgoda | traffic accident
319 | prosinac | December
320 | provjeriti | to check
321 | prozor | window
322 | prsa | chest
323 | prst | finger
324 | pun | full
325 | puno | a lot; many
326 | putovati | to travel
327 | raditi | to work; to do
328 | radosno | cheerfully
329 | rame | shoulder
330 | rano | early
331 | razgledati | to look around; to tour
332 | razglednica | post card
333 | razgovarati | to talk; to converse
334 | razgovor | conversation
335 | razmisliti | to think
336 | razmišljati | to contemplate
337 | razumjeti | to understand
338 | recept | recipe; prescription
339 | rečenica | sentence
340 | reći | to say
341 | red | line,row
342 | rezati | to cut
343 | rječnik | dictionary
344 | rođendan | birthday
345 | ručak | lunch
346 | rujan | September
347 | ruka | arm
348 | rupa | hole
349 | s kim | with whom
350 | sada | now
351 | sam/a | alone; by oneself
352 | samo | only
353 | san, snovi | dream,dreams
354 | sanjati | to dream
355 | sastanak | meeting
356 | savjet | advice
357 | savjetovati | to give advice
358 | saznati | to find out
359 | sestrična | first female cousin
360 | siguran | safe; secure
361 | siječanj | January
362 | sinoć | last night
363 | Sisvete | All Saints
364 | sjediti | to sit
365 | sjekira | axe
366 | slab | weak
367 | sladoled | icecream
368 | slagati se | to get along; to agree
369 | slaviti | to celebrate
370 | slika | painting; picture
371 | slobodan | free; single
372 | slomiti | to break
373 | sljedeći tjedan | next week
374 | spavanje | sleeping
375 | spavati | to sleep
376 | srčani udar | heart attack
377 | sreća | luck; happiness
378 | sredina | middle
379 | sretan | happy
380 | srijeda | Wednesday
381 | srpanj | July
382 | stajati | to stand
383 | stan | flat
384 | stići | to arrive, to come
385 | stopalo | foot
386 | strašan | scary
387 | struk | waist
388 | studeni | November
389 | studirati | to study at University
390 | stvar | thing
391 | stvarno | really
392 | subota | Saturday
393 | sunčanica | sunstroke
394 | susjed | neighbour
395 | sutra | tomorrow
396 | svađati se | to argue
397 | svaku večer | every evening
398 | svatko | each person
399 | sve | everything
400 | svećenik | priest
401 | svibanj | May
402 | sviđati se | to like
403 | šala | joke
404 | štap za pecanje | fishing stick
405 | što | what
406 | šuma | forest
407 | šumar | ranger
408 | tableta za spavanje | sleeping pill
409 | tajna | secret
410 | tamo | there
411 | tanjur | plate
412 | temperatura | temperature
413 | teretana | gym
414 | tjedan dana | a week
415 | tjestenina | pasta
416 | toliko | that much; that many
417 | toranj | tower
418 | travanj | April
419 | trbuh | stomach
420 | trepavica | eyelash
421 | trudna | pregnant
422 | trudnoća | pregnancy
423 | tulum | party
424 | tužan | sad
425 | u koliko sati | at what time
426 | uho | ear
427 | ujutro | in the morning
428 | ukrašavati | to decorate
429 | ulaznica | ticket
430 | umirovljenik | pensioner
431 | uopće | at all
432 | upala | infection
433 | upaljeno | switched on; infected
434 | upoznati | to meet (for the first time)
435 | uputa | instruction
436 | uputnica | referal
437 | ured | office
438 | uskoro | soon
439 | Uskrs | Easter
440 | usna | lip
441 | usporedba | comparison
442 | usta | mouth
443 | utorak | Tuesday
444 | uvijek | always
445 | uzimati | to take
446 | Valentinovo | Valentines Day
447 | važno | important
448 | večera | dinner
449 | već | already
450 | veličina | size
451 | veljača | February
452 | veseo | cheerful
453 | vidjeti | to see
454 | violina | violin
455 | visina | hight
456 | više | more
457 | vjerovati | to believe
458 | vježbati | to practice; to work out
459 | vlak | train
460 | voćni sok | fruit juice
461 | voljeti | to love
462 | vrat | neck
463 | vremenska kapsula | time capsule
464 | vrijeme | time; weather
465 | vrtić | kindergarden
466 | vuk | wolf
467 | zabava | fun; party
468 | zaboraviti | to forget
469 | zadatak | task
470 | zagrliti | to hug
471 | zajedno | together
472 | zaljubljen | in love
473 | zamjenica | pronoun
474 | zapisati | to write down
475 | zaposlen | employed
476 | zaspati | to fall asleep
477 | zašto | why
478 | završavati | to finish
479 | završiti | to finish
480 | zavrtjeti se | to spin around
481 | zdravo | healthy
482 | zimski praznici | winter holidays
483 | zmija | snake
484 | znojiti se | to sweat
485 | zub | tooth
486 | zubarska ordinacija | dental office
487 | zvati | to call
488 | zvučati | to sound
489 | želudac | stomach
490 | željeti | to wish
491 | živjeti | to live
492 | život | life
493 | životni stil | life style
