L61 | 2026-03-04: Semester 3: Lesson 17

S1 | Miscellaneous
1 | naselje | residential area (formal)
2 | kvart | neighbourhood (as in district) (informal)
3 | susjedsvto | neighbourhood (as in immediate surroundings)
4 | otkad | since when
5 | poznanik | acquaintance
6 | košarka | basketball
7 | protiv + gen. | against
8 | prijevoz | transport
9 | osjećaj | feeling
10 | vožnja | a drive, a trip
11 | penjanje | climbing
12 | poznati (poznajem) | to know, to be acquainted with
13 | Poznajemo jedno drugo. | We know each other.
