L22 | 2024-12-09: Semester 2: Lesson 8

S1 | Miscellaneous
1 | isto tako | as well
2 | također | also (more formal)
3 | maramica | napkin, tissue
4 | rano | early
5 | zbog toga | because of that, consequently
6 | toliko | so many, so much
7 | baš | really
8 | zabavan | fun, entertaining
9 | trening | training
10 | meksički | Mexican
11 | ozbiljno | seriously
12 | bogat | rich
13 | rođaci (pl.) | relatives
14 | mir | peace
15 | tišina | silence
16 | domaća zadaća | homework
17 | put | trip, journey, road
18 | rječnik | dictionary, vocabulary
19 | suđe (pl.) | dishes
20 | što god | whatever
21 | balet | ballet
22 | previše | too much

S2 | Verbs
1 | doći (dođem) | to come (pf.)
2 | stići (stižem) | to arrive
3 | peglati (peglam) | to iron
4 | naučiti (naučim)  | to learn (pf.)
5 | skuhati (skuham) | to cook (pf.)
6 | peći (pečem) | to bake
7 | popraviti (popravim) | to fix, to repair
8 | šutjeti (šutim) | to keep quiet, to be silent
9 | kartati (kartam) | to play cards
10 | putovati (putujem) | to travel
11 | pospremati (pospremam) | to clean up
12 | odmarati (odmaram) | to rest
13 | pomoći (pomognem) | to help
14 | krenuti (krenem) | to start off
15 | paziti (pazim) | to watch
16 | loviti (lovim) | to hunt, to catch
17 | prati (perem) | to wash
18 | ostati (ostanem) | to stay
