L51 | 2025-10-14: Semester 3: Lesson 7

S1 | Miscellaneous
1 | slično | similarly
2 | prugast | striped
3 | na sebi | on oneself
4 | siv | grey
5 | manifestacija | public gathering, celebration, or festival

S2 | Clothing and Items
1 | vrećica | small/plastic bag
2 | tenisice (pl.) | sneakers
3 | sako | jacket, blazer
4 | gumb | button (e.g., on a coat)
5 | rukav | sleeve
6 | zapešće | wrist
7 | kratke hlače (pl.) | shorts
8 | traperice (pl.) | jeans

S3 | Shopping
1 | blagajna | cash register
2 | veličina | size (of clothing)
3 | gotovina | cash
4 | cijena | price
5 | kupac | customer
6 | kartica | card (to pay with)
7 | potpis | signature
8 | isprobati (isprobam) | to try on (pf.)
9 | bankomat | ATM
10 | popust | discount
11 | kabina | cabin (e.g., dressing room)
12 | zamijeniti (zamijenim) | to replace, to exchange (pf.)
13 | nuditi (nudim) | to offer (imp.)
14 | trgovac | merchant
