L56 | 2025-11-25: Semester 3: Lesson 12

S1 | Miscellaneous
1 | kalkulator | calculator
2 | kavijar | caviar
3 | kćerka | daughter (less standard)
4 | parfem | perfume
5 | prsten | ring
6 | domaćin | host
7 | lektorica | lecturer (female)
8 | šiba (in context of Saint Nicholas) | birch switch
9 | Sveti Nikola | Saint Nicholas
10 | poruka | message
11 | društvo | friends, company, society
12 | Uskrs | Easter
13 | Valentinovo | Valentine's Day
14 | imendan | name day
15 | svilen | silk
16 | slati (šaljem) | to send (imp.)
