L52 | 2025-10-21: Semester 3: Lesson 8

S1 | Miscellaneous
1 | plaćati (plaćam) | to pay (imp.)
2 | zauzet | busy (as in occupied)
3 | najlonke (pl.) | tights, panty
4 | zadnje | last
5 | odjevni predmet | clothing article
6 | rasprodan | sold out
7 | funkcionirati (funkcioniram) | to work (function correctly) (pf. or imp.)
8 | u blizini | nearby (lit.: in the vicinity)
9 | blizina | vicinity
10 | na sniženju | on sale
11 | primati (primam) | to receive, to take
12 | preko + gen. | across
