L44 | 2025-06-17: Semester 2: Lesson 30

S1 | Miscellaneous
1 | odabrati (odaberem) | to choose, to select (pf.)
2 | napisati (napišem) | to write (down) (pf.)
3 | ostali (pl.) | the others, the remaining
4 | stipendija | stipend
5 | tijesto | dough, pasta
6 | umak | sauce
7 | ugrijati (ugrijem) | to warm (pf.)
8 | ipak | still, after all, nevertheless, anyway
9 | veškorpa | laundry basket
10 | korpa/kutija za rublje | laundry basket (formal)
11 | budilica | alarm
12 | noćni stol | night stand
13 | ugodan | pleasant
14 | mirisati (mirišem) | to smell (imp.)
