L55 | 2025-11-19: Semester 3: Lesson 11

S1 | Miscellaneous
1 | pokloniti (poklonim) | to give away (pf.)
2 | kome | whom (dat.)
3 | poslati (pošaljem) | to send (pf.)
4 | im | them (dat.)
5 | odlučiti (odlučim) | to decide (pf.)
6 | šira | wider
7 | modan | fashionable
8 | dizajner | designer
9 | umirovljenik | penzioner
